Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,Police Precinct
43451162,04/29/2020 02:49:07 PM,04/29/2020 03:04:39 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Highway,,,,,,,,,,,,Closed,,The Police Department reviewed your complaint and provided additional information below.,04/29/2020 03:04:43 PM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,Bruckner Expwy,Southbound/To RFK Triborough Br,Roadway,Bronx River Ave (Exit 51) - Hunts Point Ave Hunts Point Mkt (Exit 50),,,,,,,,,
43385022,04/29/2020 02:48:59 PM,04/29/2020 03:24:09 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Highway,,,,,,,,,,,,Closed,,The Police Department reviewed your complaint and provided additional information below.,04/29/2020 03:24:11 PM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,Bruckner Expwy,Southbound/To RFK Triborough Br,Ramp,RFK Br Manhattan (Exit 6B),,,,,,,,,
43297205,04/29/2020 02:48:42 PM,04/29/2020 03:24:07 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Bridge,,,,,,,,,,,,Closed,,The Police Department reviewed your complaint and provided additional information below.,04/29/2020 03:24:09 PM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,Queensboro/59th St Br,Manhattan Bound,Roadway,Lower Level,,,,,,,,,
43190573,04/29/2020 02:48:34 PM,04/29/2020 03:19:41 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Highway,,,,,,,,,,,,Closed,,The Police Department reviewed your complaint and provided additional information below.,04/29/2020 03:19:45 PM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,Long Island Expwy,West/Manhattan Bound,Ramp,Queens Blvd (NY 25)/Woodhaven Blvd (Exit 19),,,,,,,,,
43175058,04/29/2020 02:48:33 PM,04/29/2020 03:19:40 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Bridge,,,,,,,,,,,,Closed,,The Police Department reviewed your complaint and provided additional information below.,04/29/2020 03:19:45 PM,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,Third Ave Br - E 129th St,Manhattan Bound,Ramp,Ramp,,,,,,,,,
45342193,01/08/2020 04:19:27 PM,01/08/2020 04:26:08 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Residential Building/House,11207,148 HENDRIX STREET,HENDRIX STREET,ARLINGTON AVENUE,FULTON STREET,ARLINGTON AVENUE,FULTON STREET,,BROOKLYN,HENDRIX STREET,,Closed,,This complaint does not fall under the Police Department's jurisdiction.,01/08/2020 04:26:10 PM,05 BROOKLYN,3039330044,BROOKLYN,1014498,186599,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67879623175365,-73.89094669590007,"(40.67879623175365, -73.89094669590007)",17214,45,2,37,47,47
45339098,01/08/2020 01:09:28 PM,01/08/2020 02:11:07 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10003,91 EAST    4 STREET,EAST    4 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,,NEW YORK,EAST    4 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/08/2020 02:11:13 PM,03 MANHATTAN,1004460001,MANHATTAN,987220,203827,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72613423087583,-73.98928463699183,"(40.72613423087583, -73.98928463699183)",11724,70,4,50,5,5
45342194,01/08/2020 12:00:18 PM,01/09/2020 12:01:46 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10011,171 WEST   23 STREET,WEST   23 STREET,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,,NEW YORK,WEST   23 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/09/2020 12:01:50 AM,04 MANHATTAN,1007990001,MANHATTAN,985733,210223,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.743690048612336,-73.99464812435326,"(40.743690048612336, -73.99464812435326)",12074,12,4,10,7,7
45338070,01/08/2020 11:40:11 AM,01/08/2020 03:27:34 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10019,301 WEST   51 STREET,WEST   51 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,,NEW YORK,WEST   51 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/08/2020 03:27:37 PM,04 MANHATTAN,1010427501,MANHATTAN,988160,217268,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.76302604629823,-73.98588542894402,"(40.76302604629823, -73.98588542894402)",12081,12,4,10,10,10
45342541,01/08/2020 11:08:53 AM,01/08/2020 06:39:10 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Subway,10468,EAST  196 STREET,EAST  196 STREET,EAST  196 STREET,GRAND CONCOURSE,EAST  196 STREET,GRAND CONCOURSE,,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/08/2020 06:39:13 PM,07 BRONX,,BRONX,1013844,255488,ONLINE,Unspecified,BRONX,,,,,,,,40.86788049013062,-73.8930011884041,"(40.86788049013062, -73.8930011884041)",11606,24,5,22,34,34
45344185,01/08/2020 10:28:53 AM,01/09/2020 12:01:02 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10010,5 AVENUE,5 AVENUE,5 AVENUE,BROADWAY,5 AVENUE,BROADWAY,,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/09/2020 12:01:07 AM,05 MANHATTAN,,MANHATTAN,987308,209745,PHONE,Unspecified,MANHATTAN,,,,,,,,40.74237765355967,-73.9889644549032,"(40.74237765355967, -73.9889644549032)",12073,11,4,50,7,7
45343368,01/08/2020 10:26:09 AM,01/09/2020 12:00:39 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10010,212 5 AVENUE,5 AVENUE,WEST   25 STREET,EAST   26 STREET,WEST   25 STREET,EAST   26 STREET,,NEW YORK,5 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/09/2020 12:00:46 AM,05 MANHATTAN,1008277501,MANHATTAN,987475,210056,PHONE,Unspecified,MANHATTAN,,,,,,,,40.74323121163228,-73.98836164522363,"(40.74323121163228, -73.98836164522363)",12073,11,4,50,7,7
45337682,01/08/2020 10:18:24 AM,01/09/2020 12:00:05 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,,10003,5 AVENUE,5 AVENUE,5 AVENUE,WEST   15 STREET,5 AVENUE,WEST   15 STREET,,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/09/2020 12:00:08 AM,05 MANHATTAN,,MANHATTAN,986157,207673,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73669085103913,-73.99311870885126,"(40.73669085103913, -73.99311870885126)",11724,11,4,50,7,7
45344189,01/08/2020 09:58:24 AM,01/08/2020 11:41:00 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,Residential Building/House,10036,317 WEST   48 STREET,WEST   48 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,,NEW YORK,WEST   48 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/08/2020 11:41:03 AM,04 MANHATTAN,1010390123,MANHATTAN,987640,216661,PHONE,Unspecified,MANHATTAN,,,,,,,,40.761360202108676,-73.98776286467623,"(40.761360202108676, -73.98776286467623)",12081,12,4,10,10,10
45338622,01/08/2020 08:55:07 AM,01/08/2020 09:27:24 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,,10001,210 WEST   35 STREET,WEST   35 STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,,NEW YORK,WEST   35 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,01/08/2020 09:27:26 AM,05 MANHATTAN,1007840050,MANHATTAN,986808,213220,PHONE,Unspecified,MANHATTAN,,,,,,,,40.751915814334026,-73.9907675061396,"(40.751915814334026, -73.9907675061396)",11722,11,4,10,8,8
45338049,01/08/2020 07:44:15 AM,01/08/2020 11:14:57 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10022,EAST   50 STREET,EAST   50 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/08/2020 11:15:05 AM,Unspecified MANHATTAN,,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,,,,,,,,,,,,,
45340172,01/08/2020 02:41:33 AM,01/08/2020 05:47:19 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,11377,69-01 35 AVENUE,35 AVENUE,69 STREET,70 STREET,69 STREET,70 STREET,,WOODSIDE,35 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/08/2020 05:47:23 AM,03 QUEENS,4012560035,QUEENS,1012945,212743,ONLINE,Unspecified,QUEENS,,,,,,,,40.75056038085969,-73.89643429157167,"(40.75056038085969, -73.89643429157167)",14787,65,3,5,73,73
45333397,01/08/2020 01:31:32 AM,01/08/2020 04:08:42 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,,10023,15 WEST   64 STREET,WEST   64 STREET,CENTRAL PARK WEST,BROADWAY,CENTRAL PARK WEST,BROADWAY,,NEW YORK,WEST   64 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/08/2020 04:08:47 AM,07 MANHATTAN,1011170023,MANHATTAN,989721,220324,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7714131457065,-73.98024794276152,"(40.7714131457065, -73.98024794276152)",12420,20,4,19,12,12
45334420,01/07/2020 11:43:11 PM,01/08/2020 02:16:45 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,Subway,11375,118-30 QUEENS BOULEVARD,QUEENS BOULEVARD,78 AVENUE,78 CRESCENT,78 AVENUE,78 CRESCENT,,FOREST HILLS,QUEENS BOULEVARD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/08/2020 02:16:51 AM,06 QUEENS,4033477501,QUEENS,1030834,199781,ONLINE,Unspecified,QUEENS,,,,,,,,40.71490679404307,-73.83195936280589,"(40.71490679404307, -73.83195936280589)",14786,40,3,28,70,70
45334411,01/07/2020 11:38:57 PM,01/08/2020 06:57:48 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10016,241 MADISON AVENUE,MADISON AVENUE,EAST   37 STREET,EAST   38 STREET,EAST   37 STREET,EAST   38 STREET,,NEW YORK,MADISON AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,01/08/2020 06:57:50 AM,06 MANHATTAN,1008670055,MANHATTAN,989427,212523,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.75000158000506,-73.98131538406479,"(40.75000158000506, -73.98131538406479)",12078,71,4,51,9,9
45332664,01/07/2020 10:28:05 PM,01/07/2020 11:06:27 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Subway,10013,247 CANAL STREET,CANAL STREET,CENTRE STREET,LAFAYETTE STREET,CENTRE STREET,LAFAYETTE STREET,,NEW YORK,CANAL STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/07/2020 11:06:29 PM,02 MANHATTAN,1002080001,MANHATTAN,984151,200979,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71831765729455,-74.00035713687637,"(40.71831765729455, -74.00035713687637)",12076,57,4,32,2,2
45328249,01/07/2020 07:26:37 PM,01/07/2020 09:26:07 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,11377,63-14 QUEENS BOULEVARD,QUEENS BOULEVARD,61 STREET,64 STREET,61 STREET,64 STREET,,WOODSIDE,QUEENS BOULEVARD,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/07/2020 09:26:09 PM,02 QUEENS,4023247501,QUEENS,1011332,209341,ONLINE,Unspecified,QUEENS,,,,,,,,40.74122783682994,-73.90226960896315,"(40.74122783682994, -73.90226960896315)",14787,53,3,33,66,66
45335552,01/07/2020 07:18:54 PM,01/07/2020 07:48:19 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10003,91 EAST    4 STREET,EAST    4 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,,NEW YORK,EAST    4 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/07/2020 07:48:23 PM,03 MANHATTAN,1004460001,MANHATTAN,987220,203827,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72613423087583,-73.98928463699183,"(40.72613423087583, -73.98928463699183)",11724,70,4,50,5,5
45332428,01/07/2020 02:03:22 PM,01/07/2020 04:04:16 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,,11211,OLIVE STREET,OLIVE STREET,OLIVE STREET,SHARON STREET,OLIVE STREET,SHARON STREET,,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/07/2020 04:04:17 PM,01 BROOKLYN,,BROOKLYN,1001245,199894,PHONE,Unspecified,BROOKLYN,,,,,,,,40.7153232696943,-73.93869425220271,"(40.7153232696943, -73.93869425220271)",17613,36,2,30,56,56
45333342,01/07/2020 02:02:49 PM,01/07/2020 05:15:21 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,,11237,260 KNICKERBOCKER AVENUE,KNICKERBOCKER AVENUE,STARR STREET,WILLOUGHBY AVENUE,STARR STREET,WILLOUGHBY AVENUE,,BROOKLYN,KNICKERBOCKER AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/07/2020 05:15:23 PM,04 BROOKLYN,3031970034,BROOKLYN,1005086,195225,PHONE,Unspecified,BROOKLYN,,,,,,,,40.702499763110985,-73.92485313897636,"(40.702499763110985, -73.92485313897636)",13828,42,2,30,53,53
45330030,01/07/2020 02:00:20 PM,01/07/2020 04:18:23 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,,11211,MARCY AVENUE,MARCY AVENUE,MARCY AVENUE,SOUTH    5 STREET,MARCY AVENUE,SOUTH    5 STREET,,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/07/2020 04:18:25 PM,01 BROOKLYN,,BROOKLYN,996036,197616,PHONE,Unspecified,BROOKLYN,,,,,,,,40.709079175419575,-73.95748856548097,"(40.709079175419575, -73.95748856548097)",17613,36,2,30,56,56
45334748,01/07/2020 01:11:50 PM,01/07/2020 06:44:21 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,11377,59 STREET,59 STREET,59 STREET,NYCTA SUBWAY,59 STREET,NYCTA SUBWAY,,,,,Closed,,The Police Department reviewed your complaint and provided additional information below.,01/07/2020 06:44:24 PM,02 QUEENS,,QUEENS,1010413,210857,PHONE,Unspecified,QUEENS,,,,,,,,40.74539164232843,-73.90558009045257,"(40.74539164232843, -73.90558009045257)",14787,53,3,33,66,66
45329236,01/07/2020 12:08:10 PM,01/07/2020 05:19:31 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10011,171 WEST   23 STREET,WEST   23 STREET,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,,NEW YORK,WEST   23 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/07/2020 05:19:39 PM,04 MANHATTAN,1007990001,MANHATTAN,985733,210223,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.743690048612336,-73.99464812435326,"(40.743690048612336, -73.99464812435326)",12074,12,4,10,7,7
45328134,01/07/2020 11:25:24 AM,01/07/2020 05:20:14 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,,10451,359 EAST  163 STREET,EAST  163 STREET,TELLER AVENUE,PARK AVENUE,TELLER AVENUE,PARK AVENUE,,BRONX,EAST  163 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/07/2020 05:20:16 PM,04 BRONX,2024240086,BRONX,1007795,240374,PHONE,Unspecified,BRONX,,,,,,,,40.82641523932508,-73.91492475303258,"(40.82641523932508, -73.91492475303258)",10929,50,5,43,27,27
45329185,01/07/2020 10:48:28 AM,01/07/2020 12:54:13 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10016,MADISON AVENUE,MADISON AVENUE,JAN KARSKI CORNER,EAST   38 STREET,JAN KARSKI CORNER,EAST   38 STREET,,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/07/2020 12:54:15 PM,Unspecified MANHATTAN,,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,,,,,,,,,,,,,
45328276,01/07/2020 10:31:07 AM,01/07/2020 02:19:08 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Subway,10001,492 8 AVENUE,8 AVENUE,WEST   34 STREET,WEST   35 STREET,WEST   34 STREET,WEST   35 STREET,,NEW YORK,8 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/07/2020 02:19:11 PM,05 MANHATTAN,1007840080,MANHATTAN,986149,213473,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.75261040135311,-73.99314593876592,"(40.75261040135311, -73.99314593876592)",11722,11,4,10,8,8
45331596,01/07/2020 09:51:25 AM,01/07/2020 01:09:32 PM,NYPD,New York City Police Department,Homeless Encampment,N/A,Park/Playground,11418,109-50 PARKLANE SOUTH,PARKLANE SOUTH,MEMORIAL DRIVE,112 STREET,MEMORIAL DRIVE,112 STREET,,RICHMOND HILL,PARK LANE SOUTH,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/07/2020 01:09:35 PM,09 QUEENS,4092060050,QUEENS,1028476,195038,PHONE,Unspecified,QUEENS,,,,,,,,40.701900504639354,-73.84049641821476,"(40.701900504639354, -73.84049641821476)",24014,46,3,41,60,60
45335763,01/07/2020 08:23:27 AM,01/07/2020 09:22:41 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10019,301 WEST   51 STREET,WEST   51 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,,NEW YORK,WEST   51 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/07/2020 09:22:45 AM,04 MANHATTAN,1010427501,MANHATTAN,988160,217268,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.76302604629823,-73.98588542894402,"(40.76302604629823, -73.98588542894402)",12081,12,4,10,10,10
45329920,01/07/2020 08:23:20 AM,01/07/2020 08:52:50 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,,11368,35 AVENUE,35 AVENUE,35 AVENUE,105 STREET,35 AVENUE,105 STREET,,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/07/2020 08:52:52 AM,03 QUEENS,,QUEENS,1022139,214421,PHONE,Unspecified,QUEENS,,,,,,,,40.755131444849845,-73.86324199059622,"(40.755131444849845, -73.86324199059622)",14510,65,3,21,73,73
45335949,01/07/2020 06:17:43 AM,01/07/2020 11:56:02 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,,11225,LINCOLN ROAD,LINCOLN ROAD,LINCOLN ROAD,OCEAN AVENUE,LINCOLN ROAD,OCEAN AVENUE,,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/07/2020 11:56:09 AM,09 BROOKLYN,,BROOKLYN,994567,179920,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66050953809379,-73.96281426030932,"(40.66050953809379, -73.96281426030932)",13509,13,2,27,50,50
45319235,01/07/2020 12:52:51 AM,01/07/2020 04:46:35 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,Store/Commercial,10038,50 FULTON STREET,FULTON STREET,PEARL STREET,CLIFF STREET,PEARL STREET,CLIFF STREET,,NEW YORK,FULTON STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/07/2020 04:46:40 AM,01 MANHATTAN,1000757501,MANHATTAN,982948,197306,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.70823605278434,-74.0046961806822,"(40.70823605278434, -74.0046961806822)",13096,56,4,32,1,1
45320334,01/07/2020 12:51:03 AM,01/07/2020 04:46:20 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,Store/Commercial,10038,57 GOLD STREET,GOLD STREET,FULTON STREET,ANN STREET,FULTON STREET,ANN STREET,,NEW YORK,GOLD STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/07/2020 04:46:26 AM,01 MANHATTAN,1000930001,MANHATTAN,982782,197695,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.709303739686376,-74.0052950104958,"(40.709303739686376, -74.0052950104958)",13096,56,4,32,1,1
45319211,01/07/2020 12:49:32 AM,01/07/2020 04:46:02 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,Store/Commercial,10038,95 FULTON STREET,FULTON STREET,GOLD STREET,WILLIAM STREET,GOLD STREET,WILLIAM STREET,,NEW YORK,FULTON STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/07/2020 04:46:10 AM,01 MANHATTAN,1000930001,MANHATTAN,982542,197741,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.709429955709595,-74.00616069145313,"(40.709429955709595, -74.00616069145313)",13096,56,4,32,1,1
45319231,01/07/2020 12:47:49 AM,01/07/2020 04:45:27 AM,NYPD,New York City Police Department,Homeless Encampment,N/A,Street/Sidewalk,10007,BROADWAY,BROADWAY,BROADWAY,FULTON STREET,BROADWAY,FULTON STREET,,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/07/2020 04:45:31 AM,01 MANHATTAN,,MANHATTAN,981738,198272,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.710887232967906,-74.00906088716644,"(40.710887232967906, -74.00906088716644)",11728,56,4,32,1,1
